OBJECTID,TAG,CODE,ROUTE,ACCOUNTNUM,PEANO,FEEDERID,OWNER,INSTALLATI,LATITUDE,LONGITUDE,"Lat, Long"
2963944,11MTAA000840468,AFAG,105,435801,22980403,FAA09,PEA,6021755108,19.88214166,99.21493826,"19.8821416605, 99.2149382631"
3401842,11MTAA001068797,AFAG,78,690862,6201354664,FAA04,PEA,6022629938,19.81046661,99.21939593,"19.8104666108, 99.2193959311"
621284,1150MT000240675,AFAG,78,689752,5801369525,FAA04,,6007232283,19.81187179,99.2170765,"19.8118717888, 99.2170764974"
602592,1150MT000221983,AFAG,78,689400,25260673,FAA04,,6007231901,19.81186142,99.21783027,"19.8118614186, 99.2178302726"
593297,1150MT000212688,AFAG,78,687700,25260665,FAA04,PEA,6007230142,19.815234,99.21810875,"19.8152340021, 99.2181087476"
2829406,11MTAA000771336,AFAG,105,436563,29556786,FAA09,PEA,6021356293,19.88080039,99.21717386,"19.8808003875, 99.2171738572"
619377,1150MT000238768,AFAG,105,436630,24724076,FAA09,PEA,6007364374,19.8821509,99.21823449,"19.8821508996, 99.2182344895"
619381,1150MT000238772,AFAG,105,436660,18043092,FAA09,PEA,6007364506,19.88271457,99.21848838,"19.8827145723, 99.2184883778"
1710663,11MTAA000100885,AFAG,105,-,5901099458,FAA09,PEA,6007364846,19.88192994,99.21906407,"19.8819299445, 99.2190640687"
3340574,11MTAA001028272,AFAG,63,635031,6201354466,FAA09,PEA,6022543326,19.90752142,99.22060312,"19.9075214221, 99.2206031204"
3201418,11MTAA000952910,AFAG,99,131142,21770504,FAA07,PEA,6007332280,19.92476806,99.22322564,"19.9247680577, 99.2232256419"
618791,1150MT000238182,AFAG,64,651700,29561914,FAA09,PEA,6007147306,19.89619447,99.2294713,"19.8961944715, 99.2294713009"
3250529,11MTAA000980289,AFAG,64,646211,6000007587,FAA09,PEA,6007141944,19.90021845,99.2278995,"19.9002184533, 99.2278994994"
618365,1150MT000237756,AFAG,64,648401,5801369400,FAA09,PEA,6007145471,19.89824715,99.22799596,"19.8982471466, 99.2279959586"
2065062,11MTAA000321658,AFAG,160,642105,5600243518,FAA09,PEA,6018276465,19.90127807,99.22808931,"19.9012780744, 99.2280893111"
1833716,11MTAA000166610,AFAG,64,-,29783257,FAA09,PEA,6017059007,19.89927371,99.22812535,"19.8992737076, 99.2281253516"
618928,1150MT000238319,AFAG,160,645201,29559853,FAA09,PEA,6007596320,19.89949504,99.22963294,"19.8994950393, 99.2296329376"
3488874,11MTAA001117658,AFAG,139,277941,6300552396,FAA09,PEA,6023003334,19.88732694,99.2305338,"19.8873269432, 99.2305338028"
618869,1150MT000238260,AFAG,64,648270,24177925,FAA09,PEA,6007145184,19.89604057,99.2303188,"19.8960405746, 99.2303188033"
618953,1150MT000238344,AFAG,160,643900,29559836,FAA09,PEA,6007594674,19.90049913,99.22992224,"19.9004991349, 99.2299222388"
3253400,11MTAA000981909,AFAG,160,645812,28522803,FAA09,PEA,6017260163,19.89875841,99.23163279,"19.8987584117, 99.2316327905"
3837068,11MTAA001267546,AFAG,63,-,6200925965,FAA09,PEA,6023840879,19.89978916,99.23220694,"19.8997891615, 99.2322069364"
3565521,11MTAA001156263,AFAG,63,638233,25446706,FAA09,PEA,6023190784,19.90161915,99.23089443,"19.9016191539, 99.2308944334"
621235,1150MT000240626,AFAG,131,226900,28073802,FAA09,PEA,6007512186,19.91053472,99.23462648,"19.910534722, 99.2346264756"
3824929,11MTAA001263958,AFAG,131,-,6300827596,FAA09,PEA,6023828427,19.91119189,99.23414573,"19.9111918913, 99.2341457337"
593151,1150MT000212542,AFAG,114,144903,18604182,FAA04,PEA,6007414454,19.84002577,99.23573207,"19.8400257702, 99.2357320729"
593145,1150MT000212536,AFAG,114,144700,25007306,FAA04,PEA,6007414274,19.84027991,99.23582141,"19.8402799113, 99.235821407"
592127,1150MT000211518,AFAG,116,165000,23428942,FAA09,PEA,6007425353,19.86423827,99.2377849,"19.8642382683, 99.2377849018"
1758745,11MTAA000126016,AFAG,140,282382,21570643,FAA09,PEA,6016582718,19.89618879,99.23537205,"19.8961887902, 99.2353720536"
2430964,11MTAA000564103,AFAG,114,147145,5801276230,FAA04,PEA,6019965191,19.8411388,99.23970655,"19.8411388041, 99.2397065466"
592955,1150MT000212346,AFAG,129,220702,6100729814,FAA04,PEA,6007484332,19.80453229,99.24855688,"19.804532288, 99.2485568787"
1867399,11MTAA000184923,AFAG,68,-,28522874,FAA04,PEA,6017377326,19.80199858,99.25348421,"19.8019985804, 99.2534842107"
3878003,11MTAA001283227,AFAG,68,013232,6400179832,FAA04,PEA,6023928415,19.80362615,99.24936772,"19.8036261477, 99.2493677207"
602120,1150MT000221511,AFAG,68,012153,21770509,FAA04,PEA,6007168265,19.80359046,99.25217882,"19.803590456, 99.252178823"
593086,1150MT000212477,AFAG,68,010903,6200142048,FAA04,PEA,6007165613,19.8022045,99.2534664,"19.8022045006, 99.2534663959"
3301929,11MTAA001008279,AFAG,68,012811,5901251372,FAA04,PEA,6007170538,19.80132114,99.25383013,"19.8013211411, 99.2538301321"
2147272,11MTAA000381622,AFAG,68,010281,6600281978,FAA04,PEA,6018550455,19.80265944,99.25455461,"19.8026594396, 99.2545546054"
592320,1150MT000211711,AFAG,127,195301,5801369461,FAA04,PEA,6007475246,19.84490695,99.27179859,"19.8449069455, 99.2717985912"
592323,1150MT000211714,AFAG,127,195303,20268395,FAA04,PEA,6007475296,19.84500409,99.27194739,"19.8450040899, 99.2719473887"
1320638,11MTAA000020600,AFAG,129,223843,5900794715,FAA04,PEA,6007490020,19.80294452,99.2773817,"19.8029445156, 99.2773816976"
592276,1150MT000211667,AFAG,127,197102,6200830815,FAA04,PEA,6007477607,19.84246364,99.27495125,"19.8424636416, 99.2749512526"
592792,1150MT000212183,AFAG,129,224711,6200830935,FAA04,PEA,6007492244,19.80063284,99.28169064,"19.8006328381, 99.2816906366"
4268940,11MTAA001361613,AFAG,129,224204,6300250019,FAA04,PEA,6024480897,19.80251086,99.27857011,"19.8025108611, 99.2785701073"
592230,1150MT000211621,AFAG,127,198712,5801532953,FAA04,PEA,6007478924,19.84013304,99.27967821,"19.84013304, 99.2796782073"
591853,1150MT000211244,AFAG,180,218110,6200830817,FAA04,PEA,6007638689,19.84645409,99.27958915,"19.8464540889, 99.2795891496"
593115,1150MT000212506,AFAG,129,225211,20067603,FAA04,PEA,6007494456,19.79957407,99.2837951,"19.7995740728, 99.2837950966"
592552,1150MT000211943,AFAG,130,225301,5801369488,FAA04,PEA,6007497979,19.80091639,99.28668984,"19.800916388, 99.2866898415"
593536,1150MT000212927,AFAG,128,211301,15544392,FAA04,PEA,6007480348,19.83363855,99.2863465,"19.8336385455, 99.2863464981"
1804424,11MTAA000151967,AFAG,130,-,6200926420,FAA04,PEA,6016645747,19.80140962,99.28819802,"19.8014096215, 99.2881980173"
592611,1150MT000212002,AFAG,130,226532,6100729795,FAA04,PEA,6007500643,19.80007597,99.29451716,"19.8000759696, 99.2945171602"
593457,1150MT000212848,AFAG,128,213600,15469874,FAA04,PEA,6007481621,19.83582177,99.29231018,"19.835821774, 99.29231018"
3301170,11MTAA001007636,AFAG,130,227102,6001150388,FAA04,PEA,6021450215,19.79941979,99.29729614,"19.7994197879, 99.2972961429"
592660,1150MT000212051,AFAG,130,226724,22878724,FAA04,PEA,6007501861,19.8022018,99.29661536,"19.8022018035, 99.2966153586"
